pca_entropy,weighted_mahalanobis,covariance_trace,mahalanobis_spike_entropy,rarity_mean,BT_score,SE,id
5.4121366,102.39782516639873,25.03209903985355,2.3792586166688263,0.17089036,-0.340259125,0.464009046,400
5.461435,108.3105723650044,28.028681129830883,2.1457858393114106,0.17040998,-0.315372342,0.48080497,401
5.626188,113.27980047951857,29.09777254183026,1.9199959802398543,0.16496828,-0.580117966,0.476676226,402
5.518627,100.3576135438347,28.668615851821485,2.229059331164091,0.16540863,-1.785964977,0.526598829,403
5.4072456,109.30694401727669,26.65398149230264,1.8634538596855046,0.16811523,-1.05401339,0.450007142,404
4.431569,40.72619712873745,27.043062659514696,2.393039836150539,0.16280459,0.247197446,0.510844957,405
5.5511637,102.34323004746332,26.779868319786186,1.997552324330627,0.16828796,-0.861808583,0.480936493,406
5.474271,102.38076646206213,25.928224480109755,2.254541871219417,0.16813482,-1.759061403,0.476507368,407
5.607818,102.38971989127499,25.22452261354268,2.0687052543443625,0.16765535,-0.95232462,0.498115881,408
5.6816864,111.27573560319033,27.73629820446546,1.861891055991802,0.1660517,-0.371640688,0.463710362,409
5.5906887,120.33173686138699,27.460672033313553,1.9852884170391438,0.16636801,-1.238432225,0.465899778,411
5.5006094,108.38208998498979,25.750506314185564,2.25468039025549,0.16863352,-3.081337118,0.553259513,412
5.518822,102.33999570195512,28.744738525060274,2.0196641615940725,0.16887064,-2.145248365,0.518351049,413
5.5841293,120.31772432844214,26.76761685963307,2.016627029463177,0.16813223,-1.400318025,0.494799321,414
5.648005,120.34948963447297,27.373912357431532,2.123331638192343,0.16383563,-0.495298635,0.471694283,415
5.614407,114.34548221525442,27.27506863439849,2.1754782311514194,0.1652882,0.245805709,0.491792885,418
5.4861116,99.40403597868384,29.92070537529534,2.432241458398509,0.16093536,-0.188185864,0.481518476,420
5.3656178,106.3830613873338,30.01849439202212,2.21607682733712,0.15974098,-1.28603909,0.470564481,421
5.3017187,100.40842044730638,27.264013965327067,2.343283295886308,0.16424237,-0.617733261,0.496645177,422
5.5476575,107.38116325528381,29.387399771340096,2.435905931888976,0.16001205,-1.126247781,0.47702836,425
5.508278,107.36157047810511,28.741967151874704,2.2812115120083285,0.16480826,-1.009999064,0.496148262,426
5.251082,93.39008807637435,27.901263220691114,2.1548183583855094,0.16319373,0.281178362,0.510595335,428
